Title,Salary,Job Type,Job Location,Functional Area,Career Level,Apply Before,Minimum Experience,Minimum Education,Gender,Age,Skills,salary_min,salary_max,salary_avg,experience_years,city,city_grouped,skills_count,has_technical_skills,has_management_skills,Job Type_encoded,Career Level_encoded,Minimum Education_encoded,Gender_encoded,city_grouped_encoded,Functional Area_encoded
Social Media Content Specialist,"PKR. 100,000 - 250,000/Month",Part Time,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Faisalabad,
                                                                                                                                                                                                                                                                                                                                                                                        Hyderabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Multan,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,12-Jan-25,"1 Year (You should have a portfolio of previous work available in pdf, doc or link format.)",Bachelors,No Preference,,"Content Creation, Social Media Optimization, Content Development, Fluent in English, Copywriting Skills, Graphic Design",100000.0,250000.0,175000.0,1.0,Islamabad,Islamabad,6,False,False,3,1,0,2,3,22
International Sales Agent,"PKR. 20,000 - 45,000/Month",Full Time/Permanent,"Hyderabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,0 Years,Bachelors,No Preference,,"Coordination Skills, Pricing Negotiation Skills, Communication Skills",20000.0,45000.0,32500.0,0.0,Hyderabad,Other,3,False,False,1,1,0,2,8,33
Junior React / Node.js Engineer,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Gujrat,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Entry Level,12-Jan-25,1 Year,Bachelors,No Preference,,"Team Collaboration, RESTful APIs, HTML5, Javascript, NodeJs, React JS, React Native, Redux, Scrum, Docker, Mocha, Git, PostgreSQL",20000.0,30000.0,25000.0,1.0,Gujrat,Other,13,True,True,1,1,0,2,8,37
Social Media Marketing Manager,"PKR. 50,000 - 700,000/Month",Full Time/Permanent,"Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,12-Jan-25,0 Years,Bachelors,No Preference,,"Google Analytics, Google Ads Planning, Google Ads, Meta Ads",50000.0,700000.0,375000.0,0.0,Rawalpindi,Rawalpindi,4,False,False,1,2,0,2,10,22
CCTV Surveillance Officer,"PKR. 20,000 - 25,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Security,Entry Level,12-Jan-25,Less than 1 Year,Bachelors,No Preference,20 - 30 Years,"IP CCTV Knowledge, Feedback Assessment, Digital Surveillance",20000.0,25000.0,22500.0,1.0,Islamabad,Islamabad,3,False,False,1,1,0,2,3,36
Customer Support Representative,"PKR. 60,000 - 100,000/Month",Full Time/Permanent,"Gulberg 3, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,12-Jan-25,4 Years,Bachelors,Female,,"Customer Care Representation, Listening to Customers, Negotiations Skills, Customer Satisfaction Management, Customer Analysis",60000.0,100000.0,80000.0,4.0,Gulberg 3,Gulberg 3,5,False,True,1,2,0,0,1,4
Customer Sales Representative,"PKR. 40,000 - 125,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,3-Jan-25,1 Year,Bachelors,No Preference,,"Communication Skills, Customer Care Representation, Fluent in English, Client Dealing",40000.0,125000.0,82500.0,1.0,Islamabad,Islamabad,4,False,False,1,1,0,2,3,4
Graphic Designer,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,11-Jan-25,0 Years,Bachelors,No Preference,25 - 50 Years,"Printing Knowledge, Graphics Editing, Adobe In Design, Corel Draw, Adobe Illustrator",40000.0,50000.0,45000.0,0.0,Lahore,Lahore,5,False,False,1,2,0,2,7,7
Sales Assistant,"PKR. 45,000 - 50,000/Month",Full Time/Permanent,"Ferozepur Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,1 Year,Masters,No Preference,,"Bank Reconciliation, Accounts Management Skills, End to End Sales",45000.0,50000.0,47500.0,1.0,Ferozepur Road,Other,3,False,True,1,1,7,2,8,33
eCommerce Website Manager,"PKR. 20,000 - 35,000/Month",Full Time/Permanent,"Bahadurabad, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,1 Year,Intermediate/A-Level,Male,,"Social Media Post Creation, Automation Tools, Website Content Management, Digital Marketing Tools, E-commerce Platforms Knowledge, Banner Creation, Admin Operations Management, Google Sheets",20000.0,35000.0,27500.0,1.0,Bahadurabad,Other,8,False,True,1,1,4,1,8,33
Software Developer,"PKR. 175,000 - 250,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                                                                                                                        Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,12-Jan-25,3 Years,Non-Matriculation,No Preference,,"Git, MySQL, CSS, HTML, JScript, PHP, Docker, Linux Network Administration",175000.0,250000.0,212500.0,3.0,Karachi,Karachi,8,True,False,1,2,9,2,6,37
Accounts Officer,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,12-Jan-25,2 Years,Bachelors,No Preference,,"Vendor Relations Management, Record Keeping, Payroll Processing, Data Analytics",40000.0,50000.0,45000.0,2.0,Islamabad,Islamabad,4,False,True,1,2,0,2,3,0
Accountant,"PKR. 70,000 - 90,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,12-Jan-25,5 Years (Rent a Car Accounting/Finance experience is preferred),Masters,No Preference,,"Audit Assignment Handling, Admin Operations Management, General Accounts Management, Bank Reconciliation, Financial Accounting, Fluent in English",70000.0,90000.0,80000.0,5.0,Karachi,Karachi,6,False,True,1,2,7,2,6,0
Deputy Sales Manager,"PKR. 50,000 - 150,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Department Head,11-Jan-25,5 Years,Intermediate/A-Level,No Preference,,"Communication Skills, B2B Business Development, Email List Management",50000.0,150000.0,100000.0,5.0,Lahore,Lahore,3,False,True,1,0,4,2,7,33
Cabin Crew,"PKR. 700,000+/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,11-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"End  to End Sales, Multitasking Skills, Email List Management, Admin Operations Management",700000.0,700000.0,700000.0,1.0,Islamabad,Islamabad,4,False,True,1,1,4,2,3,4
Social Media Marketing Executive,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,12-Jan-25,2 Years,Bachelors,Female,,"Paid Media Management, Social Media Handling, Online Content Creation, Market Research Project Management",45000.0,60000.0,52500.0,2.0,Lahore,Lahore,4,False,True,1,2,0,0,7,22
IT Specialist,"PKR. 80,000 - 200,000/Month",Full Time/Permanent,"Zafarwal, 
                                                                                                                                                                                                                                                                                                            Narowal,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Department Head,7-Jan-25,0 Years,Bachelors,No Preference,30 - 45 Years,"ASP.net, Javascript, XML, HTML5, CSS3",80000.0,200000.0,140000.0,0.0,Zafarwal,Other,5,True,False,1,0,0,2,8,37
Content Marketing Expert,"PKR. 30,000 - 250,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                                                                                                                        Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,6-Jan-25,0 Years,Intermediate/A-Level,No Preference,20 - 35 Years,"Content Marketing Skills, Content Optimization, Research Skills, Analytics Skills, Writing Skills, SEO",30000.0,250000.0,140000.0,0.0,Islamabad,Islamabad,6,False,False,1,1,4,2,3,22
SEO / Social Media Marketing Intern,"PKR. 20,000 - 45,000/Month",Internship,"Johar Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Intern/Student,12-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Creative Social Management, Vendor Relations Management, Software Documentation Maintenance",20000.0,45000.0,32500.0,1.0,Johar Town,Johar Town,3,False,True,2,3,0,2,5,22
Student Counselor,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Faisalabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,1 Year,Masters,No Preference,,"Communication Skills, Student Affairs Handling, Student Counseling",30000.0,40000.0,35000.0,1.0,Faisalabad,Other,3,False,False,1,1,7,2,8,33
Student Counselor,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,1 Year,Masters,No Preference,,"Communication Skills, Student Affairs Handling, Student Counseling",30000.0,40000.0,35000.0,1.0,Lahore,Lahore,3,False,False,1,1,7,2,7,33
Customer Service Officer - English Speaker,"PKR. 40,000 - 125,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Experienced Professional,11-Jan-25,2 Years,Intermediate/A-Level,No Preference,25 - 50 Years,"Enterprise Sales, Sales Management Skills, B2B Business Development, Email List Management",40000.0,125000.0,82500.0,2.0,Lahore,Lahore,4,False,True,1,2,4,2,7,4
Remittance Officer,"PKR. 18,000 - 20,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,12-Jan-25,2 Years (MUST HAVE EXPERINCES IN  EXCHANGE COMAPNIES),Intermediate/A-Level,No Preference,,"Transaction Record, Budgeting Skills, Financial Services, Remittances Handling, Transaction Record Management, Remittance Processing",18000.0,20000.0,19000.0,2.0,Karachi,Karachi,6,False,True,1,2,4,2,6,0
Telemarketing Executive,"PKR. 25,000 - 70,000/Month",Full Time/Permanent,"DHA, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,12-Jan-25,0 Years,Intermediate/A-Level,Female,,"Representation Skills, Fluent in English, Lead Generation  Skills",25000.0,70000.0,47500.0,0.0,DHA,DHA,3,False,False,1,1,4,0,0,40
Online Marketing Executive,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Gulberg 2, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,11-Jan-25,0 Years,Bachelors,Female,,"Internet Browsing, Admin Operations Management, Communication Skills, eCommerce  SEO",35000.0,40000.0,37500.0,0.0,Gulberg 2,Other,4,False,True,1,1,0,0,8,22
Customer Sales Representative,"PKR. 50,000 - 200,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Customer Analysis, Customer Acquisition Skills, Customer Satisfaction Management",50000.0,200000.0,125000.0,0.0,Islamabad,Islamabad,3,False,True,1,1,4,2,3,33
Website Content Writer,"PKR. 20,000 - 125,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan",Writer,Entry Level,12-Jan-25,1 Year,Bachelors,No Preference,,"Fluent in English, Web Content Production, Creative Writing, Knowledge of Spreadsheets, Business Development Strategies, Content Optimization",20000.0,125000.0,72500.0,1.0,Lahore,Lahore,6,False,False,1,1,0,2,7,42
SEO Specialist,"PKR. 20,000 - 125,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                                                                                                                        Pir Mahal,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,12-Jan-25,2 Years,Bachelors,No Preference,,"eCommerce  SEO, SEM Knowledge, SEO Audits, Search Engine Technology Command, SEMRUSH, Keyword Research Skills, Search Engine Submission, SEO Engine Ranking",20000.0,125000.0,72500.0,2.0,Lahore,Lahore,8,False,False,1,2,0,2,7,34
SEO Expert,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,6-Jan-25,2 Years,Bachelors,No Preference,,"Search Engine Submission, Keyword Analysis, SEOMoz, Search Engine Ranking, SEO Audits",35000.0,40000.0,37500.0,2.0,Lahore,Lahore,5,False,False,1,2,0,2,7,34
Xray Technician,"PKR. 45,000 - 50,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Maintenance/Repair,Experienced Professional,1-Jan-25,3 Years,Bachelors,No Preference,25 - 35 Years,"Use of Medical Equipment, Analytical Skills, Time Management",45000.0,50000.0,47500.0,3.0,Islamabad,Islamabad,3,False,True,1,2,0,2,3,19
Travel Consultant,"PKR. 35,000 - 90,000/Month",Full Time/Permanent,"Faisal Town, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,10-Jan-25,Less than 1 Year,Intermediate/A-Level,No Preference,,"Telemarketing  Skills, Travel Arrangements, Sales, Negotiations Skills, Customer Care Representation, Travel Sales",35000.0,90000.0,62500.0,1.0,Faisal Town,Other,6,False,False,1,1,4,2,8,33
Server Administrator,"PKR. 50,000 - 70,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Computer Networking,Experienced Professional,12-Jan-25,2 Years,Bachelors,No Preference,,"Problem Solving Skills, Coordination Skills, Server Management, Communication Skills",50000.0,70000.0,60000.0,2.0,Lahore,Lahore,4,False,True,1,2,0,2,7,5
SEO Executive,"PKR. 30,000 - 40,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,12-Jan-25,2 Years,Bachelors,No Preference,,"SEO Audits, Keyword Research Skills, eCommerce  SEO, SEM Knowledge",30000.0,40000.0,35000.0,2.0,Lahore,Lahore,4,False,False,1,2,0,2,7,34
Graphic Designer / Video Editor,"PKR. 40,000 - 70,000/Month",Full Time/Permanent,"Pak Arab, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,10-Jan-25,1 Year,Intermediate/A-Level,No Preference,,"Graphics Editing, Video Editing Techniques, Animation Editing",40000.0,70000.0,55000.0,1.0,Pak Arab,Other,3,False,False,1,1,4,2,8,7
Senior Electrical Engineer,"PKR. 100,000 - 200,000/Month",Full Time/Permanent,"Old Walled City Peshawar, 
                                                                                                                                                                                                                                                                                                            Peshawar,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,12-Jan-25,4 Years,Bachelors,No Preference,,"Document Drafting, Communication Skills, Presentation Skills, End To End Project Management, MS Office",100000.0,200000.0,150000.0,4.0,Old Walled City Peshawar,Other,5,False,True,1,2,0,2,8,10
Chemist - NC,"PKR. 40,000 - 60,000/Month",Full Time/Permanent,"Sagian Wala, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Industrial Production,Experienced Professional,12-Jan-25,3 Years (Professional experience in Paints industry),Bachelors,No Preference,,"Chemical Formulation, Chemical Testing, Communication Skills",40000.0,60000.0,50000.0,3.0,Sagian Wala,Other,3,False,False,1,2,0,2,8,16
Principal,"PKR. 100,000 - 250,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Experienced Professional,11-Jan-25,"5 Years (Minimum  (5) years of successful teaching in any K-12 program(s), and two (5) years of school leadership experience.)",Masters,No Preference,,"Educational Assessment, Academic Administration, Interpersonal Leadership",100000.0,250000.0,175000.0,5.0,Islamabad,Islamabad,3,False,True,1,2,7,2,3,39
Assistant Professor Marketing - Faculty of Business Management,"PKR. 60,000 - 100,000/Month",Full Time/Permanent,"Rawat, 
                                                                                                                                                                                                                                                                                                            Rawalpindi,
                                                                                                                                                                                                                                                                                            Pakistan","Teachers/Education, Training & Development",Entry Level,30-Dec-24,"1 Year (Teaching Subjects/Areas,Marketing courses, Principles of Marketing)",Doctorate,No Preference,,"Presentation Skills, Principles  Of Marketing, Marketing Skills, Marketing Courses",60000.0,100000.0,80000.0,1.0,Rawat,Other,4,False,False,1,1,3,2,8,39
Customer Sales Representative,"PKR. 25,000 - 50,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Entry Level,2-Jan-25,0 Years,Intermediate/A-Level,No Preference,,"Coordination Skills, Travels Knowledge, Communication Skills, Fluent in English",25000.0,50000.0,37500.0,0.0,Lahore,Lahore,4,False,False,1,1,4,2,7,40
Textile Designer - Western Wear,"PKR. 50,000 - 80,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Entry Level,12-Jan-25,Less than 1 Year,Bachelors,No Preference,,"Competitor Analysis, Clothing Design, Fabric Awareness, Womens Fashion, Mens Fashion, Fashion Design, Market Trend Research, Pattern Making, Vendor Management Skillls, Merchandising Skills, Digital Marketing Skills",50000.0,80000.0,65000.0,1.0,Lahore,Lahore,11,False,True,1,1,0,2,7,7
Truck Dispatcher / Sales Agent,"PKR. 45,000 - 60,000/Month",Full Time/Permanent,"Cantt, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Client Services & Customer Support,Entry Level,11-Jan-25,1 Year,Bachelors,No Preference,,"Outbound Calls Handling, Dispatch Skills, Communication Skills",45000.0,60000.0,52500.0,1.0,Cantt,Other,3,False,False,1,1,0,2,8,4
PLC Automation Engineer,"PKR. 70,000 - 100,000/Month",Full Time/Permanent,"Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Engineering,Experienced Professional,10-Jan-25,0 Years,Bachelors,No Preference,,"Communication Skills, PLC, Automation Skills",70000.0,100000.0,85000.0,0.0,Karachi,Karachi,3,False,False,1,2,0,2,6,10
SEO Specialist,"PKR. 30,000 - 50,000/Month",Full Time/Permanent,"Gulgasht Colony, 
                                                                                                                                                                                                                                                                                                            Multan,
                                                                                                                                                                                                                                                                                            Pakistan",Search Engine Optimization (SEO),Experienced Professional,12-Jan-25,0 Years,Bachelors,No Preference,,"Search Engine Ranking, Keyword Research Skills, SEO Audits",30000.0,50000.0,40000.0,0.0,Gulgasht Colony,Other,3,False,False,1,2,0,2,8,34
Marketing Representative,"PKR. 40,000 - 50,000/Month",Full Time/Permanent,"P.E.C.H.S, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Entry Level,12-Jan-25,1 Year,Bachelors,Male,,"Digital Marketing Management, Brand Management, Digital Marketing Analysis",40000.0,50000.0,45000.0,1.0,P.E.C.H.S,P.E.C.H.S,3,False,True,1,1,0,1,9,22
Project Manager,"PKR. 100,000 - 150,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan",Project Management,Experienced Professional,12-Jan-25,0 Years,Bachelors,No Preference,,"Web Project Management, End To End Project Management, Project Plans Management, Project Administration",100000.0,150000.0,125000.0,0.0,Islamabad,Islamabad,4,False,True,1,2,0,2,3,28
Front End Developer - ASP.NET MVC,"PKR. 80,000 - 100,000/Month",Full Time/Permanent,"Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Software & Web Development,Experienced Professional,11-Jan-25,4 Years,Bachelors,No Preference,,"RESTful APIs, Javascript, CSS, HTML, MVC 2/3, MVC",80000.0,100000.0,90000.0,4.0,Lahore,Lahore,6,True,False,1,2,0,2,7,37
Graphic Designer,"PKR. 30,000 - 50,000/Month",Full Time/Permanent,"Manghopir Road, 
                                                                                                                                                                                                                                                                                                            Karachi,
                                                                                                                                                                                                                                                                                            Pakistan",Creative Design,Experienced Professional,10-Jan-25,2 Years,Intermediate/A-Level,Male,,"Adobe Illustrator, Adobe Photoshop, Video Editing Techniques",30000.0,50000.0,40000.0,2.0,Manghopir Road,Other,3,False,False,1,2,4,1,8,7
Nurse,"PKR. 50,000 - 60,000/Month",Full Time/Permanent,"Sahiwal,
                                                                                                                                                                                                                                                                                            Pakistan",Health & Medicine,Entry Level,12-Jan-25,1 Year,Bachelors,Male,,"Communication Skills, Medical Writing, Nurse Practitioner",50000.0,60000.0,55000.0,1.0,Sahiwal,Other,3,False,False,1,1,0,1,8,12
Internal Auditor,"PKR. 35,000 - 40,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Accounts, Finance & Financial Services",Experienced Professional,12-Jan-25,3 Years,Bachelors,No Preference,,"Audit Assignment Handling, Audit Reports Management, Internal Financial Reporting, Internal Controls, Electrical Controls Knowledge",35000.0,40000.0,37500.0,3.0,Islamabad,Islamabad,5,False,True,1,2,0,2,3,0
Visa / Tour Consultant,"PKR. 35,000 - 60,000/Month",Full Time/Permanent,"Gulberg, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Sales & Business Development,Entry Level,12-Jan-25,1 Year,Bachelors,Female,,"Presentation Skills, Admin Operations Management, Coordination Skills, Consultancy Skills, Communication Skills, Travels Knowledge",35000.0,60000.0,47500.0,1.0,Gulberg,Other,6,False,True,1,1,0,0,8,33
Chemical Engineer,"PKR. 200,000 - 300,000/Month",Full Time/Permanent,"Riyadh,
                                                                                                                                                                                                                                                                                            Saudi Arabia",Engineering,Experienced Professional,12-Jan-25,3 Years (Experience in Desalination Industry will be preferred),Bachelors,Male,24 - 30 Years,"Process Operations Handling, Chemical Handling, Projection Design, Chemical Testing",200000.0,300000.0,250000.0,3.0,Riyadh,Other,4,False,True,1,2,0,1,8,10
Sales / Marketing Executive,"PKR. 30,000 - 50,000/Month",Full Time/Permanent,"Wapda Town, 
                                                                                                                                                                                                                                                                                                            Gujranwala,
                                                                                                                                                                                                                                                                                            Pakistan",Marketing,Experienced Professional,12-Jan-25,2 Years,Bachelors,Male,,"Sales Management, Communication Skills, Event Marketing Strategies",30000.0,50000.0,40000.0,2.0,Wapda Town,Other,3,False,True,1,2,0,1,8,22
Receptionist,"PKR. 20,000 - 30,000/Month",Full Time/Permanent,"Islamabad,
                                                                                                                                                                                                                                                                                            Pakistan","Secretarial, Clerical & Front Office",Entry Level,12-Jan-25,Less than 1 Year,Diploma,No Preference,,"Communication Skills, MS Excel, Front Office Support",20000.0,30000.0,25000.0,1.0,Islamabad,Islamabad,3,False,False,1,1,2,2,3,35
WordPress Developer,"PKR. 150,000 - 175,000/Month",Full Time/Permanent,"Dubai,
                                                                                                                                                                                                                                                                                            United Arab Emirates",Advertising,Experienced Professional,12-Jan-25,0 Years,Bachelors,No Preference,,"Javascript, MySQL, jQuery",150000.0,175000.0,162500.0,0.0,Dubai,Other,3,True,False,1,2,0,2,8,2
Call Center Agent,"PKR. 10,000 - 15,000/Month",Internship,"Davis Road, 
                                                                                                                                                                                                                                                                                                            Lahore,
                                                                                                                                                                                                                                                                                            Pakistan",Telemarketing,Intern/Student,11-Jan-25,0 Years,Intermediate/A-Level,Transgender,,"Telemarketing  Skills, Coordination Skills, Communication Skills",10000.0,15000.0,12500.0,0.0,Davis Road,Other,3,False,False,2,3,4,3,8,40
